date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:27:26	67/67	---M--	200	added ('OK')	text/plain	date:Sat,%2005%20Mar%202022%2014:26:42%20GMT	https://troikaschool.org/robots.txt		(from )
15:27:26	180992/180992	---M--	200	added ('OK')	text/html	date:Sat,%2005%20Mar%202022%2014:26:41%20GMT	https://troikaschool.org/	C:/My%20Web%20Sites/Kelvin/troikaschool.org/index.html	(from )
15:27:34	50948/50948	---M--	200	added ('OK')	image/jpeg	etag:%22723ed2b09cc5d71:0%22	https://troikaschool.org/wp-content/uploads/2021/10/troika-school-lagos-nigeria-best-school-in-quality-great-pupil-good-teachers7.jpg	C:/My%20Web%20Sites/Kelvin/troikaschool.org/wp-content/uploads/2021/10/troika-school-lagos-nigeria-best-school-in-quality-great-pupil-good-teachers7.jpg	(from https://troikaschool.org/)
15:27:36	28083/28083	---M--	200	added ('OK')	image/png	etag:%229f9a21bc9dc5d71:0%22	https://troikaschool.org/wp-content/themes/brite/resources/images/header-shapes/circles.png	C:/My%20Web%20Sites/Kelvin/troikaschool.org/wp-content/themes/brite/resources/images/header-shapes/circles.png	(from https://troikaschool.org/)
15:27:39	410757/410757	---M--	200	added ('OK')	text/css	etag:%2268f3f6579ec5d71:0%22	https://troikaschool.org/wp-content/plugins/colibri-page-builder/extend-builder/assets/static/css/theme.css?ver=1.0.206	C:/My%20Web%20Sites/Kelvin/troikaschool.org/wp-content/plugins/colibri-page-builder/extend-builder/assets/static/css/theme8ccf.css	(from https://troikaschool.org/)
15:27:40	11005/11005	---M--	200	added ('OK')	image/png	etag:%22a4fc23bc9dc5d71:0%22	https://troikaschool.org/wp-content/themes/brite/resources/images/header-shapes/rounded-squares-blue.png	C:/My%20Web%20Sites/Kelvin/troikaschool.org/wp-content/themes/brite/resources/images/header-shapes/rounded-squares-blue.png	(from https://troikaschool.org/)
15:27:41	1644/1644	---M--	200	added ('OK')	application/rss+xml	etag:%22fe3a2cab53a1652da572f982abcd1c3e%22	https://troikaschool.org/comments/feed/	C:/My%20Web%20Sites/Kelvin/troikaschool.org/comments/feed/index.html	(from https://troikaschool.org/)
15:27:41	2031/2031	---M--	200	added ('OK')	application/rss+xml	etag:%229b9493d5148fdc47c2e271c446604199%22	https://troikaschool.org/feed/	C:/My%20Web%20Sites/Kelvin/troikaschool.org/feed/index.html	(from https://troikaschool.org/)
15:27:42	396896/396896	---M--	200	added ('OK')	image/png	etag:%229f9a21bc9dc5d71:0%22	https://troikaschool.org/wp-content/themes/brite/resources/images/header-shapes/10degree-stripes.png	C:/My%20Web%20Sites/Kelvin/troikaschool.org/wp-content/themes/brite/resources/images/header-shapes/10degree-stripes.png	(from https://troikaschool.org/)
15:27:48	42767/42767	---M--	200	added ('OK')	image/png	etag:%22a4fc23bc9dc5d71:0%22	https://troikaschool.org/wp-content/themes/brite/resources/images/header-shapes/many-rounded-squares-blue.png	C:/My%20Web%20Sites/Kelvin/troikaschool.org/wp-content/themes/brite/resources/images/header-shapes/many-rounded-squares-blue.png	(from https://troikaschool.org/)
15:28:18	7268/7268	---M--	200	added ('OK')	image/png	etag:%22a4fc23bc9dc5d71:0%22	https://troikaschool.org/wp-content/themes/brite/resources/images/header-shapes/two-circles.png	C:/My%20Web%20Sites/Kelvin/troikaschool.org/wp-content/themes/brite/resources/images/header-shapes/two-circles.png	(from https://troikaschool.org/)
15:28:37	27792/27792	---M--	200	added ('OK')	image/png	etag:%229f9a21bc9dc5d71:0%22	https://troikaschool.org/wp-content/themes/brite/resources/images/header-shapes/circles-2.png	C:/My%20Web%20Sites/Kelvin/troikaschool.org/wp-content/themes/brite/resources/images/header-shapes/circles-2.png	(from https://troikaschool.org/)
15:28:38	61860/61860	---M--	200	added ('OK')	image/png	etag:%229f9a21bc9dc5d71:0%22	https://troikaschool.org/wp-content/themes/brite/resources/images/header-shapes/circles-3.png	C:/My%20Web%20Sites/Kelvin/troikaschool.org/wp-content/themes/brite/resources/images/header-shapes/circles-3.png	(from https://troikaschool.org/)
15:29:21	174634/174634	---M--	200	added ('OK')	image/png	etag:%229f9a21bc9dc5d71:0%22	https://troikaschool.org/wp-content/themes/brite/resources/images/header-shapes/circles-gradient.png	C:/My%20Web%20Sites/Kelvin/troikaschool.org/wp-content/themes/brite/resources/images/header-shapes/circles-gradient.png	(from https://troikaschool.org/)
15:29:23	35762/35762	---M--	200	added ('OK')	image/png	etag:%22a4fc23bc9dc5d71:0%22	https://troikaschool.org/wp-content/themes/brite/resources/images/header-shapes/waves.png	C:/My%20Web%20Sites/Kelvin/troikaschool.org/wp-content/themes/brite/resources/images/header-shapes/waves.png	(from https://troikaschool.org/)
15:29:24	263201/263201	---M--	200	added ('OK')	image/png	etag:%229f9a21bc9dc5d71:0%22	https://troikaschool.org/wp-content/themes/brite/resources/images/header-shapes/circles-white-gradient.png	C:/My%20Web%20Sites/Kelvin/troikaschool.org/wp-content/themes/brite/resources/images/header-shapes/circles-white-gradient.png	(from https://troikaschool.org/)
15:29:25	91/91	---M--	200	added ('OK')	image/png	etag:%229f9a21bc9dc5d71:0%22	https://troikaschool.org/wp-content/themes/brite/resources/images/header-shapes/dots.png	C:/My%20Web%20Sites/Kelvin/troikaschool.org/wp-content/themes/brite/resources/images/header-shapes/dots.png	(from https://troikaschool.org/)
15:29:26	119/119	---M--	200	added ('OK')	image/png	etag:%22a4fc23bc9dc5d71:0%22	https://troikaschool.org/wp-content/themes/brite/resources/images/header-shapes/left-tilted-lines.png	C:/My%20Web%20Sites/Kelvin/troikaschool.org/wp-content/themes/brite/resources/images/header-shapes/left-tilted-lines.png	(from https://troikaschool.org/)
15:29:27	102/102	---M--	200	added ('OK')	image/png	etag:%22a4fc23bc9dc5d71:0%22	https://troikaschool.org/wp-content/themes/brite/resources/images/header-shapes/right-tilted-lines.png	C:/My%20Web%20Sites/Kelvin/troikaschool.org/wp-content/themes/brite/resources/images/header-shapes/right-tilted-lines.png	(from https://troikaschool.org/)
15:29:28	354573/354573	---M--	200	added ('OK')	image/png	etag:%22a4fc23bc9dc5d71:0%22	https://troikaschool.org/wp-content/themes/brite/resources/images/header-shapes/waves-inverted.png	C:/My%20Web%20Sites/Kelvin/troikaschool.org/wp-content/themes/brite/resources/images/header-shapes/waves-inverted.png	(from https://troikaschool.org/)
15:29:30	226532/226532	---M--	200	added ('OK')	image/png	etag:%22a4fc23bc9dc5d71:0%22	https://troikaschool.org/wp-content/themes/brite/resources/images/header-shapes/right-tilted-strips.png	C:/My%20Web%20Sites/Kelvin/troikaschool.org/wp-content/themes/brite/resources/images/header-shapes/right-tilted-strips.png	(from https://troikaschool.org/)
15:29:46	128111/128111	---M--	200	added ('OK')	image/jpeg	etag:%223248ca619ec5d71:0%22	https://troikaschool.org/wp-content/uploads/2021/10/laptop-desk-computer-writing-screen-man-653052-pxhere-com-1.jpg	C:/My%20Web%20Sites/Kelvin/troikaschool.org/wp-content/uploads/2021/10/laptop-desk-computer-writing-screen-man-653052-pxhere-com-1.jpg	(from https://troikaschool.org/)
15:30:00	74625/74625	---M--	200	added ('OK')	image/jpeg	etag:%22e1c9c2a2c5d71:0%22	https://troikaschool.org/wp-content/uploads/2021/10/troika-school-lagos-nigeria-best-school-in-quality-great-pupil-good-teachers-2019-End-of-the-year-event-troikaschool.org-best-school-in-Lagos-with-christian-morals-7.jpg	C:/My%20Web%20Sites/Kelvin/troikaschool.org/wp-content/uploads/2021/10/troika-school-lagos-nigeria-best-school-in-quality-great-pupil-good-teachers-2019-End-of-the-year-event-troikaschool.org-best-school-in-Lagos-with-christian-morals-7.12	(from https://troikaschool.org/)
15:31:30	83369/83369	---M--	200	added ('OK')	text/css	etag:%22db2c5f17928d81:0%22	https://troikaschool.org/wp-includes/css/dist/block-library/style.min.css?ver=5.9.1	C:/My%20Web%20Sites/Kelvin/troikaschool.org/wp-includes/css/dist/block-library/style.min74e5.css	(from https://troikaschool.org/)
15:31:31	2808/2808	---M--	200	added ('OK')	text/css	etag:%2235f26bc9dc5d71:0%22	https://troikaschool.org/wp-content/themes/brite//resources/theme/extras.css?ver=1.0.4	C:/My%20Web%20Sites/Kelvin/troikaschool.org/wp-content/themes/brite/resources/theme/extras4b68.css	(from https://troikaschool.org/)
15:31:33	11224/11224	---M--	200	added ('OK')	application/javascript	etag:%2205317c8abdd61:0%22	https://troikaschool.org/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/My%20Web%20Sites/Kelvin/troikaschool.org/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://troikaschool.org/)
15:31:33	89521/89521	---M--	200	added ('OK')	application/javascript	etag:%2209e7313bf15d71:0%22	https://troikaschool.org/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/My%20Web%20Sites/Kelvin/troikaschool.org/wp-includes/js/jquery/jquery.minaf6c.js	(from https://troikaschool.org/)
15:31:34	5629/5629	---M--	200	added ('OK')	application/javascript	etag:%2280ad18ecb341d61:0%22	https://troikaschool.org/wp-includes/js/imagesloaded.min.js?ver=4.1.4	C:/My%20Web%20Sites/Kelvin/troikaschool.org/wp-includes/js/imagesloaded.mineda1.js	(from https://troikaschool.org/)
15:31:35	24138/24138	---M--	200	added ('OK')	application/javascript	etag:%2280ad18ecb341d61:0%22	https://troikaschool.org/wp-includes/js/masonry.min.js?ver=4.2.2	C:/My%20Web%20Sites/Kelvin/troikaschool.org/wp-includes/js/masonry.min3a05.js	(from https://troikaschool.org/)
15:31:36	14441/14441	---M--	200	added ('OK')	application/javascript	etag:%22fe90f4579ec5d71:0%22	https://troikaschool.org/wp-content/plugins/colibri-page-builder/extend-builder/assets/static/colibri.js?ver=1.0.206	C:/My%20Web%20Sites/Kelvin/troikaschool.org/wp-content/plugins/colibri-page-builder/extend-builder/assets/static/colibri8ccf.js	(from https://troikaschool.org/)
15:31:38	37015/37015	---M--	200	added ('OK')	application/javascript	etag:%22ab8fb579ec5d71:0%22	https://troikaschool.org/wp-content/plugins/colibri-page-builder/extend-builder/assets/static/typed.js?ver=1.0.206	C:/My%20Web%20Sites/Kelvin/troikaschool.org/wp-content/plugins/colibri-page-builder/extend-builder/assets/static/typed8ccf.js	(from https://troikaschool.org/)
15:31:40	68213/68213	---M--	200	added ('OK')	application/javascript	etag:%2268f3f6579ec5d71:0%22	https://troikaschool.org/wp-content/plugins/colibri-page-builder/extend-builder/assets/static/fancybox/jquery.fancybox.min.js?ver=1.0.206	C:/My%20Web%20Sites/Kelvin/troikaschool.org/wp-content/plugins/colibri-page-builder/extend-builder/assets/static/fancybox/jquery.fancybox.min8ccf.js	(from https://troikaschool.org/)
15:31:42	261223/261223	---M--	200	added ('OK')	application/javascript	etag:%22b557f9579ec5d71:0%22	https://troikaschool.org/wp-content/plugins/colibri-page-builder/extend-builder/assets/static/js/theme.js?ver=1.0.206	C:/My%20Web%20Sites/Kelvin/troikaschool.org/wp-content/plugins/colibri-page-builder/extend-builder/assets/static/js/theme8ccf.js	(from https://troikaschool.org/)
